WARNING 2021-10-08 19:32:53,523 create https://dev.by/rss parser
INFO 2021-10-08 19:32:54,011 to_json:start 
INFO 2021-10-08 19:32:54,011 get_channel_info:start 
INFO 2021-10-08 19:32:54,011 get_channel_info:complete
INFO 2021-10-08 19:32:54,011 get_articles:start 
INFO 2021-10-08 19:32:54,013 get_articles:complete
INFO 2021-10-08 19:32:54,013 to_json:complete
INFO 2021-10-08 19:32:54,013 insert_data:start 
INFO 2021-10-08 19:32:54,021 insert_data:complete
INFO 2021-10-08 19:32:54,021 make_articles:start 
INFO 2021-10-08 19:32:54,021 get_channel_info:start 
INFO 2021-10-08 19:32:54,021 get_channel_info:complete
INFO 2021-10-08 19:32:54,021 get_articles:start 
INFO 2021-10-08 19:32:54,022 get_articles:complete
INFO 2021-10-08 19:32:54,022 make_articles:complete
WARNING 2021-10-08 19:38:38,885 create https://dev.by/rss parser
INFO 2021-10-08 19:38:39,382 to_json:start 
INFO 2021-10-08 19:38:39,382 get_channel_info:start 
INFO 2021-10-08 19:38:39,382 get_channel_info:complete
INFO 2021-10-08 19:38:39,382 get_articles:start 
INFO 2021-10-08 19:38:39,384 get_articles:complete
INFO 2021-10-08 19:38:39,384 to_json:complete
INFO 2021-10-08 19:38:39,384 insert_data:start 
INFO 2021-10-08 19:38:39,390 insert_data:complete
INFO 2021-10-08 19:38:39,390 make_articles:start 
INFO 2021-10-08 19:38:39,390 get_channel_info:start 
INFO 2021-10-08 19:38:39,390 get_channel_info:complete
INFO 2021-10-08 19:38:39,390 get_articles:start 
INFO 2021-10-08 19:38:39,391 get_articles:complete
INFO 2021-10-08 19:38:39,391 make_articles:complete
WARNING 2021-10-11 10:24:31,556 create https://onliner.by/feed parser
INFO 2021-10-11 10:24:31,752 to_json:start 
INFO 2021-10-11 10:24:31,753 get_channel_info:start 
INFO 2021-10-11 10:24:31,753 get_channel_info:complete
INFO 2021-10-11 10:24:31,753 get_articles:start 
INFO 2021-10-11 10:24:31,754 get_articles:complete
INFO 2021-10-11 10:24:31,755 to_json:complete
INFO 2021-10-11 10:24:31,755 insert_data:start 
INFO 2021-10-11 10:24:31,775 insert_data:complete
INFO 2021-10-11 10:24:31,775 make_articles:start 
INFO 2021-10-11 10:24:31,776 get_channel_info:start 
INFO 2021-10-11 10:24:31,776 get_channel_info:complete
INFO 2021-10-11 10:24:31,776 get_articles:start 
INFO 2021-10-11 10:24:31,777 get_articles:complete
INFO 2021-10-11 10:24:31,777 make_articles:complete
WARNING 2021-10-11 10:24:34,241 create https://onliner.by/feed parser
INFO 2021-10-11 10:24:34,430 to_json:start 
INFO 2021-10-11 10:24:34,430 get_channel_info:start 
INFO 2021-10-11 10:24:34,430 get_channel_info:complete
INFO 2021-10-11 10:24:34,430 get_articles:start 
INFO 2021-10-11 10:24:34,432 get_articles:complete
INFO 2021-10-11 10:24:34,433 to_json:complete
INFO 2021-10-11 10:24:34,433 insert_data:start 
INFO 2021-10-11 10:24:34,452 insert_data:complete
INFO 2021-10-11 10:24:34,452 make_articles:start 
INFO 2021-10-11 10:24:34,453 get_channel_info:start 
INFO 2021-10-11 10:24:34,453 get_channel_info:complete
INFO 2021-10-11 10:24:34,453 get_articles:start 
INFO 2021-10-11 10:24:34,454 get_articles:complete
INFO 2021-10-11 10:24:34,454 make_articles:complete
WARNING 2021-10-11 10:32:13,192 create https://onliner.by/feed parser
INFO 2021-10-11 10:32:13,709 to_json:start 
INFO 2021-10-11 10:32:13,710 get_channel_info:start 
INFO 2021-10-11 10:32:13,710 get_channel_info:complete
INFO 2021-10-11 10:32:13,710 get_articles:start 
INFO 2021-10-11 10:32:13,711 get_articles:complete
INFO 2021-10-11 10:32:13,712 to_json:complete
INFO 2021-10-11 10:32:13,712 insert_data:start 
INFO 2021-10-11 10:32:13,736 insert_data:complete
INFO 2021-10-11 10:32:13,736 get_articles_by_date:start 
INFO 2021-10-11 10:32:13,739 get_articles_by_date:complete
INFO 2021-10-11 10:32:48,038 get_articles_by_date:start 
INFO 2021-10-11 10:32:48,045 get_articles_by_date:complete
WARNING 2021-10-11 10:32:56,189 create https://onliner.by/feed parser
INFO 2021-10-11 10:32:56,341 to_json:start 
INFO 2021-10-11 10:32:56,342 get_channel_info:start 
INFO 2021-10-11 10:32:56,342 get_channel_info:complete
INFO 2021-10-11 10:32:56,342 get_articles:start 
INFO 2021-10-11 10:32:56,343 get_articles:complete
INFO 2021-10-11 10:32:56,343 to_json:complete
INFO 2021-10-11 10:32:56,343 insert_data:start 
INFO 2021-10-11 10:32:56,348 insert_data:complete
INFO 2021-10-11 10:32:56,348 get_articles_by_date:start 
INFO 2021-10-11 10:32:56,352 get_articles_by_date:complete
WARNING 2021-10-11 10:34:07,926 create https://onliner.by/feed parser
INFO 2021-10-11 10:34:08,058 to_json:start 
INFO 2021-10-11 10:34:08,058 get_channel_info:start 
INFO 2021-10-11 10:34:08,058 get_channel_info:complete
INFO 2021-10-11 10:34:08,058 get_articles:start 
INFO 2021-10-11 10:34:08,060 get_articles:complete
INFO 2021-10-11 10:34:08,060 to_json:complete
INFO 2021-10-11 10:34:08,060 insert_data:start 
INFO 2021-10-11 10:34:08,068 insert_data:complete
INFO 2021-10-11 10:34:08,068 get_articles_by_date:start 
INFO 2021-10-11 10:34:08,072 get_articles_by_date:complete
WARNING 2021-10-11 10:34:13,911 create https://onliner.by/feed parser
INFO 2021-10-11 10:34:14,056 to_json:start 
INFO 2021-10-11 10:34:14,057 get_channel_info:start 
INFO 2021-10-11 10:34:14,057 get_channel_info:complete
INFO 2021-10-11 10:34:14,057 get_articles:start 
INFO 2021-10-11 10:34:14,058 get_articles:complete
INFO 2021-10-11 10:34:14,058 to_json:complete
INFO 2021-10-11 10:34:14,058 insert_data:start 
INFO 2021-10-11 10:34:14,065 insert_data:complete
INFO 2021-10-11 10:34:14,065 get_articles_by_date:start 
INFO 2021-10-11 10:34:14,068 get_articles_by_date:complete
WARNING 2021-10-11 10:34:24,566 create https://onliner.by/feed parser
INFO 2021-10-11 10:34:24,677 to_json:start 
INFO 2021-10-11 10:34:24,677 get_channel_info:start 
INFO 2021-10-11 10:34:24,677 get_channel_info:complete
INFO 2021-10-11 10:34:24,677 get_articles:start 
INFO 2021-10-11 10:34:24,679 get_articles:complete
INFO 2021-10-11 10:34:24,680 to_json:complete
INFO 2021-10-11 10:34:24,680 insert_data:start 
INFO 2021-10-11 10:34:24,699 insert_data:complete
INFO 2021-10-11 10:34:24,700 get_articles_by_date:start 
INFO 2021-10-11 10:34:24,703 get_articles_by_date:complete
INFO 2021-10-11 10:38:54,918 get_articles_by_date:start 
INFO 2021-10-11 10:38:54,925 get_articles_by_date:complete
WARNING 2021-10-11 10:39:18,010 create https://onliner.by/feed parser
ERROR 2021-10-11 10:39:18,020 HTTPSConnectionPool(host='onliner.by', port=443): Max retries exceeded with url: /feed (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f8e1df5b490>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))
INFO 2021-10-11 10:39:18,020 to_json:start 
INFO 2021-10-11 10:39:18,020 get_channel_info:start 
ERROR 2021-10-11 10:39:18,020 'Parser' object has no attribute 'root': occurred
INFO 2021-10-11 10:39:18,020 get_articles:start 
ERROR 2021-10-11 10:39:18,020 'Parser' object has no attribute 'root': occurred
INFO 2021-10-11 10:39:18,020 to_json:complete
INFO 2021-10-11 10:39:18,021 insert_data:start 
INFO 2021-10-11 10:39:18,021 insert_data:complete
WARNING 2021-10-11 10:39:54,961 create https://onliner.by/feed parser
INFO 2021-10-11 10:39:55,793 to_json:start 
INFO 2021-10-11 10:39:55,793 get_channel_info:start 
INFO 2021-10-11 10:39:55,793 get_channel_info:complete
INFO 2021-10-11 10:39:55,793 get_articles:start 
INFO 2021-10-11 10:39:55,794 get_articles:complete
INFO 2021-10-11 10:39:55,795 to_json:complete
INFO 2021-10-11 10:39:55,795 insert_data:start 
INFO 2021-10-11 10:39:55,815 insert_data:complete
INFO 2021-10-11 10:39:55,815 get_articles_by_date:start 
INFO 2021-10-11 10:39:55,818 get_articles_by_date:complete
WARNING 2021-10-11 10:40:05,590 create https://onliner.by/feed parser
INFO 2021-10-11 10:40:05,718 to_json:start 
INFO 2021-10-11 10:40:05,718 get_channel_info:start 
INFO 2021-10-11 10:40:05,718 get_channel_info:complete
INFO 2021-10-11 10:40:05,718 get_articles:start 
INFO 2021-10-11 10:40:05,719 get_articles:complete
INFO 2021-10-11 10:40:05,720 to_json:complete
INFO 2021-10-11 10:40:05,720 insert_data:start 
INFO 2021-10-11 10:40:05,741 insert_data:complete
INFO 2021-10-11 10:40:05,741 get_articles_by_date:start 
INFO 2021-10-11 10:40:05,744 get_articles_by_date:complete
INFO 2021-10-11 11:34:17,946 convert_to_pdf:start 
ERROR 2021-10-11 11:34:17,946 'str' object has no attribute 'get': occurred
INFO 2021-10-11 11:35:06,717 convert_to_html:start 
ERROR 2021-10-11 11:35:06,717 'str' object has no attribute 'get': occurred
INFO 2021-10-11 11:36:12,581 convert_to_html:start 
ERROR 2021-10-11 11:36:12,582 'str' object has no attribute 'get': occurred
INFO 2021-10-11 11:36:30,393 convert_to_pdf:start 
INFO 2021-10-11 11:36:31,584 convert_to_pdf:complete
INFO 2021-10-11 11:36:58,255 convert_to_html:start 
ERROR 2021-10-11 11:36:58,255 'str' object has no attribute 'get': occurred
INFO 2021-10-11 11:37:18,516 convert_to_html:start 
INFO 2021-10-11 11:37:18,527 convert_to_html:complete
